序號,聯單序號,工程名稱,工程編號,土資場名稱,土資場編號,土質,載運土方量,狀態,出場車頭車號,出場車斗車號,實際出場重量,出場日期,進場車頭車號,進場車斗車號,實際進場重量,進場日期,司機姓名,實際出土量,實際進土量,"是否為出場補登 (0=正常, 1=補登)",出場補登原因,出場補登時間戳記,"是否為進場補登 (0=正常, 1=補登)",進場補登原因,進場補登時間戳記,建立時間,更新時間
1,EYG10099EYG21699_B2-3_00000001,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLK5536,HBC3551,,2026/6/24 06:14,KLK5536,HBC3551,,2026/6/24 09:02,劉士銘,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 09:02
2,EYG10099EYG21699_B2-3_00000002,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLG3133,HBE0159,,2026/6/24 06:24,KLG3133,HBE0159,,2026/6/24 09:00,楊曜任,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 09:01
3,EYG10099EYG21699_B2-3_00000003,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLG3537,2X72,,2026/6/24 09:02,KLG3537,2X72,,2026/6/24 09:16,陳松宏,12,12,1,車牌輸入錯誤,2026/6/24 09:05,0,,,2026/6/8 22:39,2026/6/24 09:16
4,EYG10099EYG21699_B2-3_00000004,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLJ7158,HBB2932,,2026/6/24 06:34,KLJ7158,HBB2932,,2026/6/24 10:11,蕭秉越,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 10:12
5,EYG10099EYG21699_B2-3_00000005,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLP2213,01MZ,,2026/6/24 06:37,KLP2213,01MZ,,2026/6/24 10:12,陳國康,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 10:12
6,EYG10099EYG21699_B2-3_00000006,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLP2669,UD45,,2026/6/24 06:56,KLP2669,UD45,,2026/6/24 09:22,陳思宇,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 09:22
7,EYG10099EYG21699_B2-3_00000007,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLJ7158,HBB2932,,2026/6/24 10:41,KLJ7158,HBB2932,,2026/6/24 13:07,蕭秉越,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 13:07
8,EYG10099EYG21699_B2-3_00000008,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLG3537,2X72,,2026/6/24 10:48,KLG3537,2X72,,2026/6/24 14:21,陳松宏,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 14:21
9,EYG10099EYG21699_B2-3_00000009,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLG3097,98CS,,2026/6/24 11:36,KLG3097,98CS,,2026/6/24 13:40,陳再來,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 13:40
10,EYG10099EYG21699_B2-3_00000010,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLK0099,HBD1039,,2026/6/24 11:42,KLK0099,HBD1039,,2026/6/24 13:44,李昌義,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 13:44
11,EYG10099EYG21699_B2-3_00000011,衛生福利部防疫中心興建工程,EYG10099,臺北港物流倉儲區第三、四期造地工程,EYG21699,B2-3,12,已完成,KLG1077,8J15,,2026/6/24 15:22,KLG1077,8J15,,2026/6/24 17:19,林永和,12,12,0,,,0,,,2026/6/8 22:39,2026/6/24 17:19
